theta q
0.0004942932537163047 -2.32903644518
0.0003752481518981554 -2.38325738886
0.01651949114130452 -1.50727535906
0.06698558054145698 -1.05968730687
0.28435945358375003 -0.40300790358
0.33099284703137 -0.309128183103
0.34251429914747156 -0.286810141307
0.5638656288238411 0.113686774972
0.00011464894581691976 -2.60522031539
6.855411181411197e-05 -2.69642974645
0.004171280351664142 -1.86526424591
0.025294352429832634 -1.38236000292
0.0019228895406154245 -2.04392198278
0.016106466285313703 -1.51445185313
0.0001666106536646894 -2.53710078159
0.01870237960036547 -1.47171445396
0.03821065740741275 -1.25287925197
0.05993803145165766 -1.09975894239
0.010905503590637855 -1.62185059445
0.3823194232831946 -0.211704077343
1.973375152158896e-05 -2.90661546791
0.004812084802144623 -1.83073335233
0.002837926092131182 -1.95581677903
0.04234187689070368 -1.21914645781
0.008027779589440232 -1.70246573648
0.05487978564840246 -1.13085800843
0.2942491424087478 -0.382554307252
0.3901823484735425 -0.197172344207
0.0001996466141833131 -2.50354726041
0.1100942422269704 -0.866932062454
0.4533306079824761 -0.0829089214081
0.0010730916873056828 -2.17026641694
0.15823971772047152 -0.708322139793
0.6035330404441088 0.185617425414
0.16113499860314656 -0.699897022275
0.28552569958188 -0.400578627882
0.2916201698567219 -0.387959622037
0.10434936845073428 -0.888940437957
0.0021519814716031704 -2.01877524725
0.47034587256883975 -0.0526090677052
0.04096418543063618 -1.23008661213
0.13024876434661148 -0.795647840516
0.043239507632707674 -1.21217246134
0.010673765393056145 -1.62760488849
0.045728624343031876 -1.19342676273
0.29228040198516947 -0.386600026961
0.7037969642787165 0.378551442333
0.0020159319638537454 -2.03339722155
0.005802879853228693 -1.78467396165
0.08293282049993012 -0.979775111306
0.7349751239912992 0.444013609947
0.44986357400286403 -0.0890997212921
0.02244078377858827 -1.41828843625
0.0031843449317567885 -1.92910706245
0.2870763239059611 -0.39735599694
0.1273244719174454 -0.805486535107
2.8881899218902163e-06 -3.2063144563
0.03317562062851198 -1.29827872398
0.04132379304601036 -1.22720258021
4.663092226231402e-05 -2.76300911316
0.6450608859327395 0.263057608683
0.17631509762329517 -0.657255521023
0.12994172152547584 -0.796673636399
0.004499963972814269 -1.84700313146
0.48452618514805723 -0.027433503294
0.05771944517845112 -1.11313462073
0.0330521167643838 -1.29946159615
0.09887066357063057 -0.910762951569
0.009622288333155815 -1.65516667792
0.0009813869702736677 -2.1890668463
0.43276187619952444 -0.119746373193
0.18369751364259607 -0.63736031526
0.03956432709457974 -1.24151287702
0.010144699383307643 -1.64116136735
0.02667446602997714 -1.36619088299
0.004176023713245214 -1.86499169829
0.0572535063241153 -1.11599489541
0.016563380030896857 -1.50652182867
0.3398949784126472 -0.291858160789
0.03388409277991028 -1.29156246756
0.0004312870431210647 -2.35600414648
0.27661053440620115 -0.419272146743
0.004447805515128411 -1.84981969322
0.09894242172192796 -0.910471495257
0.0001901834375118705 -2.51259356194
0.018678681297598865 -1.47208104663
0.13789194255784565 -0.770632845691
0.09573431334569638 -0.923656002622
0.10879295142691564 -0.871843445967
0.05846547691580978 -1.10859250402
